Delta, Rate, Expect, Margin
26, 52.25%, 112.90%, 0.50%
27, 52.31%, 113.01%, 0.48%
28, 52.15%, 113.20%, 0.47%
29, 50.68%, 113.70%, 0.47%
Stock SH600354
1, 49.92%, 102.40%, 2.40%
2, 50.31%, 103.72%, 1.86%
3, 50.25%, 104.74%, 1.58%
4, 50.08%, 105.56%, 1.39%
5, 49.92%, 106.21%, 1.24%
6, 49.92%, 106.73%, 1.12%
7, 50.14%, 107.05%, 1.01%
8, 49.02%, 107.68%, 0.96%
9, 48.51%, 108.18%, 0.91%
10, 47.89%, 108.84%, 0.88%
11, 48.57%, 109.28%, 0.84%
12, 47.64%, 110.02%, 0.84%
13, 48.56%, 110.42%, 0.80%
14, 48.99%, 110.78%, 0.77%
15, 49.75%, 110.97%, 0.73%
16, 50.34%, 111.11%, 0.69%
17, 50.31%, 111.34%, 0.67%
18, 50.56%, 111.55%, 0.64%
19, 49.75%, 112.09%, 0.64%
20, 50.11%, 112.37%, 0.62%
21, 49.52%, 112.96%, 0.62%
22, 50.00%, 113.23%, 0.60%
23, 50.99%, 113.32%, 0.58%
24, 50.79%, 113.62%, 0.57%
25, 50.99%, 113.86%, 0.55%
26, 51.10%, 114.02%, 0.54%
27, 50.88%, 114.22%, 0.53%
28, 50.14%, 114.61%, 0.52%
29, 50.08%, 114.85%, 0.51%
Stock SH600355
1, 50.58%, 102.06%, 2.06%
2, 50.43%, 103.26%, 1.63%
3, 51.55%, 104.04%, 1.35%
4, 50.43%, 104.79%, 1.20%
5, 50.79%, 105.39%, 1.08%
6, 50.56%, 105.86%, 0.98%
7, 49.92%, 106.25%, 0.89%
8, 48.52%, 106.71%, 0.84%
9, 49.11%, 106.90%, 0.77%
10, 49.13%, 107.28%, 0.73%
11, 49.18%, 107.70%, 0.70%
12, 48.83%, 108.18%, 0.68%
13, 49.03%, 108.46%, 0.65%
14, 48.14%, 109.09%, 0.65%
15, 47.40%, 109.67%, 0.64%
16, 47.32%, 110.20%, 0.64%
17, 47.55%, 110.66%, 0.63%
18, 47.78%, 111.12%, 0.62%
19, 47.83%, 111.56%, 0.61%
20, 47.62%, 112.04%, 0.60%
21, 47.68%, 112.42%, 0.59%
22, 48.03%, 112.78%, 0.58%
23, 48.13%, 113.10%, 0.57%
24, 48.54%, 113.22%, 0.55%
25, 48.08%, 113.56%, 0.54%
26, 48.13%, 113.71%, 0.53%
27, 48.13%, 113.90%, 0.51%
28, 48.24%, 114.08%, 0.50%
29, 48.24%, 114.31%, 0.49%
Stock SH600356
1, 49.73%, 101.53%, 1.53%
2, 49.98%, 102.31%, 1.16%
3, 51.62%, 102.75%, 0.92%
4, 50.46%, 103.25%, 0.81%
5, 50.19%, 103.62%, 0.72%
6, 49.54%, 103.91%, 0.65%
7, 49.22%, 104.10%, 0.59%
8, 48.13%, 104.33%, 0.54%
9, 47.65%, 104.59%, 0.51%
10, 46.68%, 104.93%, 0.49%
11, 46.68%, 105.20%, 0.47%
12, 47.12%, 105.38%, 0.45%
13, 47.12%, 105.56%, 0.43%
14, 47.36%, 105.72%, 0.41%
15, 47.21%, 105.88%, 0.39%
16, 47.36%, 106.03%, 0.38%
17, 47.60%, 106.18%, 0.36%
18, 47.60%, 106.37%, 0.35%
19, 47.65%, 106.62%, 0.35%
20, 47.31%, 106.88%, 0.34%
21, 47.41%, 107.02%, 0.33%
22, 47.36%, 107.24%, 0.33%
23, 46.15%, 107.62%, 0.33%
24, 47.07%, 107.67%, 0.32%
25, 46.78%, 107.92%, 0.32%
26, 46.34%, 108.19%, 0.31%
27, 46.15%, 108.36%, 0.31%
28, 45.56%, 108.67%, 0.31%
29, 45.52%, 108.88%, 0.31%
Stock SH600357
1, 50.23%, 102.30%, 2.30%
2, 50.08%, 103.55%, 1.77%
3, 50.98%, 104.16%, 1.39%
4, 51.58%, 104.71%, 1.18%
5, 50.08%, 105.58%, 1.12%
6, 51.73%, 105.90%, 0.98%
7, 50.38%, 106.50%, 0.93%
8, 51.28%, 106.77%, 0.85%
9, 50.98%, 107.21%, 0.80%
10, 49.62%, 107.72%, 0.77%
11, 49.92%, 108.08%, 0.73%
12, 50.76%, 108.36%, 0.70%
13, 51.13%, 108.65%, 0.67%
14, 51.59%, 108.90%, 0.64%
15, 51.59%, 109.21%, 0.61%
16, 52.95%, 109.30%, 0.58%
17, 52.80%, 109.50%, 0.56%
18, 53.10%, 109.57%, 0.53%
19, 54.46%, 109.59%, 0.50%
20, 53.94%, 110.02%, 0.50%
21, 53.72%, 110.43%, 0.50%
22, 54.26%, 110.95%, 0.50%
23, 54.86%, 111.41%, 0.50%
24, 52.28%, 112.44%, 0.52%
25, 52.89%, 112.81%, 0.51%
26, 52.58%, 113.43%, 0.52%
27, 52.89%, 113.79%, 0.51%
28, 52.58%, 114.05%, 0.50%
29, 51.98%, 114.51%, 0.50%
Stock SH600358
1, 46.69%, 102.21%, 2.21%
2, 49.46%, 103.20%, 1.60%
3, 51.48%, 103.85%, 1.28%
4, 50.59%, 104.54%, 1.14%
5, 50.54%, 105.03%, 1.01%
6, 49.75%, 105.46%, 0.91%
7, 50.20%, 105.78%, 0.83%
8, 49.14%, 106.30%, 0.79%
9, 48.47%, 106.79%, 0.75%
10, 47.75%, 107.35%, 0.74%
11, 47.77%, 107.82%, 0.71%
12, 48.64%, 108.13%, 0.68%
13, 47.87%, 108.63%, 0.66%
14, 48.24%, 108.96%, 0.64%
15, 48.51%, 109.43%, 0.63%
16, 48.74%, 109.86%, 0.62%
17, 48.21%, 110.32%, 0.61%
18, 48.64%, 110.46%, 0.58%
19, 48.16%, 110.88%, 0.57%
20, 47.82%, 111.33%, 0.57%
21, 48.01%, 111.59%, 0.55%
22, 48.56%, 111.75%, 0.53%
23, 48.51%, 112.02%, 0.52%
24, 48.76%, 112.23%, 0.51%
25, 48.31%, 112.51%, 0.50%
26, 48.86%, 112.49%, 0.48%
27, 48.71%, 112.74%, 0.47%
28, 48.46%, 113.19%, 0.47%
29, 47.72%, 113.79%, 0.48%
Stock SH600359
1, 50.55%, 102.12%, 2.12%
2, 50.51%, 103.36%, 1.68%
3, 52.62%, 104.21%, 1.40%
4, 52.88%, 104.90%, 1.23%
5, 52.88%, 105.39%, 1.08%
6, 51.91%, 106.00%, 1.00%
7, 52.57%, 106.41%, 0.92%
8, 51.65%, 107.05%, 0.88%
9, 50.59%, 107.75%, 0.86%
10, 51.65%, 108.13%, 0.81%
11, 51.52%, 108.57%, 0.78%
12, 50.15%, 109.13%, 0.76%
13, 50.15%, 109.36%, 0.72%
14, 50.37%, 109.46%, 0.68%
15, 50.90%, 109.52%, 0.63%
16, 50.20%, 109.78%, 0.61%
17, 49.67%, 109.96%, 0.59%
18, 50.15%, 110.10%, 0.56%
19, 49.36%, 110.55%, 0.56%
20, 49.98%, 110.76%, 0.54%
21, 49.54%, 111.29%, 0.54%
22, 49.54%, 111.61%, 0.53%
23, 49.67%, 111.85%, 0.52%
24, 49.10%, 112.10%, 0.50%
25, 49.63%, 112.21%, 0.49%
26, 49.27%, 112.54%, 0.48%
27, 48.92%, 112.94%, 0.48%
28, 48.61%, 113.42%, 0.48%
29, 48.13%, 113.94%, 0.48%
Stock SH600360
1, 49.84%, 102.04%, 2.04%
2, 49.18%, 103.20%, 1.60%
3, 50.49%, 103.93%, 1.31%
4, 49.91%, 104.63%, 1.16%
5, 48.80%, 105.30%, 1.06%
6, 49.53%, 105.73%, 0.95%
7, 47.67%, 106.36%, 0.91%
8, 46.70%, 106.80%, 0.85%
9, 45.74%, 107.28%, 0.81%
10, 46.04%, 107.56%, 0.76%
11, 45.73%, 108.05%, 0.73%
12, 46.13%, 108.46%, 0.70%
13, 46.39%, 108.95%, 0.69%
14, 46.32%, 109.31%, 0.67%
15, 45.47%, 109.67%, 0.64%
16, 45.70%, 109.89%, 0.62%
17, 44.90%, 110.36%, 0.61%
18, 45.47%, 110.57%, 0.59%
19, 46.46%, 110.75%, 0.57%
20, 46.93%, 111.06%, 0.55%
21, 47.50%, 111.40%, 0.54%
22, 47.97%, 111.69%, 0.53%
23, 48.11%, 112.08%, 0.53%
24, 48.39%, 112.50%, 0.52%
25, 48.35%, 112.94%, 0.52%
26, 48.11%, 113.37%, 0.51%
27, 48.25%, 113.66%, 0.51%
28, 48.35%, 113.93%, 0.50%
29, 47.92%, 114.35%, 0.49%
Stock SH600361
1, 50.00%, 101.76%, 1.76%
2, 49.22%, 102.65%, 1.32%
3, 49.90%, 103.31%, 1.10%
4, 51.02%, 103.83%, 0.96%
5, 50.29%, 104.41%, 0.88%
6, 50.44%, 104.88%, 0.81%
7, 49.66%, 105.34%, 0.76%
8, 48.98%, 105.72%, 0.71%
9, 48.59%, 106.05%, 0.67%
10, 47.72%, 106.50%, 0.65%
11, 48.01%, 106.73%, 0.61%
12, 48.03%, 107.08%, 0.59%
13, 47.62%, 107.58%, 0.58%
14, 48.18%, 107.92%, 0.57%
15, 48.88%, 108.12%, 0.54%
16, 49.05%, 108.31%, 0.52%
17, 49.61%, 108.47%, 0.50%
18, 48.54%, 109.02%, 0.50%
19, 48.98%, 109.32%, 0.49%
20, 49.46%, 109.58%, 0.48%
21, 48.98%, 110.03%, 0.48%
22, 49.56%, 110.28%, 0.47%
23, 50.00%, 110.47%, 0.46%
24, 50.68%, 110.57%, 0.44%
25, 50.10%, 110.94%, 0.44%
26, 49.61%, 111.21%, 0.43%
27, 49.56%, 111.48%, 0.43%
28, 49.83%, 111.69%, 0.42%
29, 49.66%, 111.95%, 0.41%
Stock SH600362
1, 48.35%, 101.97%, 1.97%
2, 48.19%, 102.87%, 1.43%
3, 48.69%, 103.51%, 1.17%
4, 48.74%, 104.02%, 1.00%
5, 48.40%, 104.60%, 0.92%
6, 47.78%, 105.11%, 0.85%
7, 47.97%, 105.59%, 0.80%
8, 47.06%, 106.16%, 0.77%
9, 45.78%, 106.91%, 0.77%
10, 46.04%, 107.44%, 0.74%
11, 45.82%, 108.01%, 0.73%
12, 47.04%, 108.28%, 0.69%
13, 48.25%, 108.54%, 0.66%
14, 48.28%, 108.99%, 0.64%
15, 48.71%, 109.38%, 0.63%
16, 49.23%, 109.74%, 0.61%
17, 48.61%, 110.25%, 0.60%
18, 48.85%, 110.54%, 0.59%
19, 48.28%, 110.97%, 0.58%
20, 47.80%, 111.38%, 0.57%
21, 48.13%, 111.63%, 0.55%
22, 48.28%, 111.92%, 0.54%
23, 48.37%, 112.32%, 0.54%
24, 47.75%, 112.99%, 0.54%
25, 48.09%, 113.32%, 0.53%
26, 48.28%, 113.68%, 0.53%
27, 48.61%, 113.77%, 0.51%
28, 48.73%, 113.88%, 0.50%
29, 47.70%, 114.47%, 0.50%
Stock SH600363
1, 49.46%, 102.22%, 2.22%
2, 50.37%, 103.31%, 1.65%
3, 50.00%, 104.09%, 1.36%
4, 49.78%, 104.67%, 1.17%
5, 49.93%, 105.13%, 1.03%
6, 49.83%, 105.55%, 0.92%
7, 48.84%, 106.12%, 0.87%
8, 50.07%, 106.45%, 0.81%
9, 49.93%, 106.94%, 0.77%
10, 50.02%, 107.44%, 0.74%
11, 49.88%, 108.00%, 0.73%
12, 49.88%, 108.45%, 0.70%
13, 49.73%, 108.86%, 0.68%
14, 50.32%, 109.10%, 0.65%
15, 49.68%, 109.71%, 0.65%
16, 49.98%, 110.08%, 0.63%
17, 49.88%, 110.50%, 0.62%
18, 50.27%, 110.93%, 0.61%
19, 50.32%, 111.42%, 0.60%
20, 50.67%, 111.95%, 0.60%
21, 50.81%, 112.38%, 0.59%
22, 50.86%, 112.78%, 0.58%
23, 50.76%, 113.19%, 0.57%
24, 50.57%, 113.61%, 0.57%
25, 50.71%, 113.87%, 0.55%
26, 50.37%, 114.13%, 0.54%
27, 49.38%, 114.61%, 0.54%
28, 48.64%, 115.03%, 0.54%
29, 49.38%, 115.04%, 0.52%
Stock SH600365
1, 47.97%, 101.91%, 1.91%
2, 48.66%, 103.01%, 1.50%
3, 49.85%, 103.75%, 1.25%
4, 51.12%, 104.28%, 1.07%
5, 49.38%, 104.94%, 0.99%
6, 50.67%, 105.31%, 0.88%
7, 49.68%, 105.88%, 0.84%
8, 49.23%, 106.35%, 0.79%
9, 48.44%, 106.93%, 0.77%
10, 48.04%, 107.51%, 0.75%
11, 48.69%, 107.84%, 0.71%
12, 48.44%, 108.28%, 0.69%
13, 49.03%, 108.46%, 0.65%
14, 49.43%, 108.71%, 0.62%
15, 48.49%, 109.22%, 0.61%
16, 49.83%, 109.40%, 0.59%
17, 49.80%, 109.82%, 0.58%
18, 49.80%, 110.17%, 0.56%
19, 49.70%, 110.54%, 0.55%
20, 48.56%, 111.08%, 0.55%
21, 48.61%, 111.29%, 0.54%
22, 48.31%, 111.68%, 0.53%
23, 47.99%, 112.08%, 0.53%
24, 47.52%, 112.44%, 0.52%
25, 47.44%, 112.63%, 0.51%
26, 47.51%, 112.82%, 0.49%
27, 47.71%, 112.98%, 0.48%
28, 47.51%, 113.31%, 0.48%
29, 47.81%, 113.55%, 0.47%
Stock SH600366
1, 50.07%, 102.09%, 2.09%
2, 48.64%, 103.21%, 1.61%
3, 49.89%, 103.94%, 1.31%
4, 49.54%, 104.68%, 1.17%
5, 50.52%, 105.23%, 1.05%
6, 50.00%, 105.80%, 0.97%
7, 48.61%, 106.36%, 0.91%
8, 48.40%, 106.75%, 0.84%
9, 47.97%, 107.19%, 0.80%
10, 47.31%, 107.72%, 0.77%
11, 46.51%, 108.31%, 0.76%
12, 46.78%, 108.70%, 0.73%
13, 46.55%, 109.13%, 0.70%
14, 46.09%, 109.69%, 0.69%
15, 46.28%, 110.06%, 0.67%
16, 47.33%, 110.24%, 0.64%
17, 47.14%, 110.62%, 0.62%
18, 47.42%, 111.04%, 0.61%
19, 47.46%, 111.49%, 0.60%
20, 47.78%, 111.85%, 0.59%
21, 47.19%, 112.36%, 0.59%
22, 47.46%, 112.60%, 0.57%
23, 46.60%, 113.02%, 0.57%
24, 46.83%, 113.22%, 0.55%
25, 47.24%, 113.28%, 0.53%
26, 47.56%, 113.40%, 0.52%
27, 47.42%, 113.59%, 0.50%
28, 46.87%, 114.09%, 0.50%
29, 46.83%, 114.52%, 0.50%
Stock SH600367
1, 49.39%, 102.07%, 2.07%
2, 49.11%, 103.24%, 1.62%
3, 51.35%, 103.92%, 1.31%
4, 51.35%, 104.61%, 1.15%
5, 51.45%, 105.24%, 1.05%
6, 50.47%, 105.86%, 0.98%
7, 51.26%, 106.11%, 0.87%
8, 50.65%, 106.48%, 0.81%
9, 50.93%, 106.74%, 0.75%
10, 50.28%, 107.38%, 0.74%
11, 50.19%, 107.86%, 0.71%
12, 50.00%, 108.31%, 0.69%
13, 48.60%, 109.05%, 0.70%
14, 48.41%, 109.52%, 0.68%
15, 47.99%, 109.98%, 0.67%
16, 48.32%, 110.15%, 0.63%
17, 48.32%, 110.48%, 0.62%
18, 48.65%, 110.83%, 0.60%
19, 48.74%, 111.35%, 0.60%
20, 48.69%, 111.87%, 0.59%
21, 48.55%, 112.36%, 0.59%
22, 48.65%, 112.72%, 0.58%
23, 49.53%, 112.94%, 0.56%
24, 50.19%, 113.07%, 0.54%
25, 49.23%, 113.51%, 0.54%
26, 48.46%, 113.92%, 0.54%
27, 48.43%, 114.07%, 0.52%
28, 48.32%, 114.26%, 0.51%
29, 48.20%, 114.39%, 0.50%
Stock SH600368
1, 49.79%, 101.77%, 1.77%
2, 50.16%, 102.63%, 1.32%
3, 50.98%, 103.22%, 1.07%
4, 51.21%, 103.71%, 0.93%
5, 49.61%, 104.23%, 0.85%
6, 48.74%, 104.62%, 0.77%
7, 47.83%, 104.96%, 0.71%
8, 47.28%, 105.36%, 0.67%
9, 46.87%, 105.78%, 0.64%
10, 46.37%, 106.29%, 0.63%
11, 46.09%, 106.70%, 0.61%
12, 45.82%, 107.12%, 0.59%
13, 45.91%, 107.45%, 0.57%
14, 46.71%, 107.65%, 0.55%
15, 46.36%, 107.97%, 0.53%
16, 46.34%, 108.22%, 0.51%
17, 46.16%, 108.67%, 0.51%
18, 46.89%, 108.91%, 0.50%
19, 46.43%, 109.36%, 0.49%
20, 47.12%, 109.59%, 0.48%
21, 47.80%, 109.67%, 0.46%
22, 47.90%, 109.91%, 0.45%
23, 47.90%, 110.10%, 0.44%
24, 47.85%, 110.24%, 0.43%
25, 48.03%, 110.36%, 0.41%
26, 47.99%, 110.47%, 0.40%
27, 48.03%, 110.67%, 0.40%
28, 46.98%, 111.14%, 0.40%
29, 47.30%, 111.27%, 0.39%
Stock SH600369
1, 47.37%, 101.83%, 1.83%
2, 47.37%, 102.73%, 1.37%
3, 47.19%, 103.47%, 1.16%
4, 46.05%, 104.15%, 1.04%
5, 45.77%, 104.67%, 0.93%
6, 44.77%, 105.15%, 0.86%
7, 45.18%, 105.46%, 0.78%
8, 43.49%, 106.07%, 0.76%
9, 43.12%, 106.51%, 0.72%
10, 42.90%, 107.06%, 0.71%
11, 43.12%, 107.47%, 0.68%
12, 43.58%, 107.96%, 0.66%
13, 43.90%, 108.42%, 0.65%
14, 43.90%, 108.93%, 0.64%
15, 43.90%, 109.35%, 0.62%
16, 44.22%, 109.73%, 0.61%
17, 44.27%, 110.06%, 0.59%
18, 44.95%, 110.30%, 0.57%
19, 44.68%, 110.87%, 0.57%
20, 44.13%, 111.59%, 0.58%
21, 44.54%, 112.00%, 0.57%
22, 44.56%, 112.52%, 0.57%
23, 44.03%, 113.21%, 0.57%
24, 44.01%, 113.61%, 0.57%
25, 43.73%, 114.05%, 0.56%
26, 43.69%, 114.40%, 0.55%
27, 43.41%, 114.84%, 0.55%
28, 42.82%, 115.25%, 0.54%
29, 42.63%, 115.56%, 0.54%
Stock SH600370
1, 49.10%, 101.85%, 1.85%
2, 49.42%, 102.82%, 1.41%
3, 49.45%, 103.41%, 1.14%
4, 50.11%, 103.84%, 0.96%
5, 49.60%, 104.32%, 0.86%
6, 47.44%, 104.90%, 0.82%
7, 48.23%, 105.16%, 0.74%
8, 47.12%, 105.64%, 0.71%
9, 46.20%, 106.08%, 0.68%
10, 46.01%, 106.39%, 0.64%
11, 45.35%, 106.80%, 0.62%
12, 45.53%, 107.07%, 0.59%
13, 45.16%, 107.40%, 0.57%
14, 45.37%, 107.60%, 0.54%
15, 45.53%, 107.94%, 0.53%
16, 46.06%, 108.12%, 0.51%
17, 47.12%, 108.24%, 0.48%
18, 47.75%, 108.43%, 0.47%
19, 47.49%, 108.82%, 0.46%
20, 47.65%, 109.11%, 0.46%
21, 47.33%, 109.48%, 0.45%
22, 47.75%, 109.72%, 0.44%
23, 47.59%, 110.08%, 0.44%
24, 46.59%, 110.57%, 0.44%
25, 46.91%, 110.78%, 0.43%
26, 46.64%, 111.09%, 0.43%
27, 46.22%, 111.40%, 0.42%
28, 46.22%, 111.57%, 0.41%
29, 45.53%, 111.87%, 0.41%
Stock SH600371
1, 53.34%, 102.20%, 2.20%
2, 52.42%, 103.43%, 1.72%
3, 53.03%, 104.17%, 1.39%
4, 52.37%, 104.94%, 1.23%
5, 52.11%, 105.60%, 1.12%
6, 51.66%, 106.16%, 1.03%
7, 50.64%, 106.76%, 0.97%
8, 49.77%, 107.16%, 0.90%
9, 49.47%, 107.55%, 0.84%
10, 49.11%, 108.00%, 0.80%
11, 49.21%, 108.36%, 0.76%
12, 49.52%, 108.60%, 0.72%
13, 49.13%, 108.87%, 0.68%
14, 48.50%, 109.28%, 0.66%
15, 48.98%, 109.53%, 0.64%
16, 49.11%, 109.78%, 0.61%
17, 48.57%, 110.18%, 0.60%
18, 48.65%, 110.48%, 0.58%
19, 48.93%, 110.87%, 0.57%
20, 48.64%, 111.40%, 0.57%
21, 48.93%, 111.87%, 0.57%
22, 48.34%, 112.45%, 0.57%
23, 48.82%, 112.71%, 0.55%
24, 48.46%, 113.16%, 0.55%
25, 48.51%, 113.38%, 0.54%
26, 48.98%, 113.47%, 0.52%
27, 49.08%, 113.66%, 0.51%
28, 48.57%, 114.13%, 0.50%
29, 48.72%, 114.35%, 0.49%
Stock SH600372
1, 48.31%, 101.92%, 1.92%
2, 47.98%, 102.99%, 1.50%
3, 47.91%, 103.74%, 1.25%
4, 48.28%, 104.37%, 1.09%
5, 47.85%, 105.00%, 1.00%
6, 48.84%, 105.35%, 0.89%
7, 48.86%, 105.78%, 0.83%
8, 48.05%, 106.41%, 0.80%
9, 48.10%, 106.93%, 0.77%
10, 48.46%, 107.44%, 0.74%
11, 47.40%, 108.10%, 0.74%
12, 48.00%, 108.49%, 0.71%
13, 47.95%, 109.00%, 0.69%
14, 48.31%, 109.31%, 0.67%
15, 47.80%, 109.69%, 0.65%
16, 48.76%, 109.80%, 0.61%
17, 49.17%, 109.99%, 0.59%
18, 48.76%, 110.33%, 0.57%
19, 48.56%, 110.66%, 0.56%
20, 47.95%, 111.12%, 0.56%
21, 48.15%, 111.37%, 0.54%
22, 47.77%, 111.78%, 0.54%
23, 47.19%, 112.29%, 0.53%
24, 46.10%, 112.76%, 0.53%
25, 45.95%, 113.34%, 0.53%
26, 45.95%, 113.88%, 0.53%
27, 46.25%, 114.34%, 0.53%
28, 47.11%, 114.59%, 0.52%
29, 48.07%, 114.82%, 0.51%
Stock SH600373
1, 50.02%, 101.95%, 1.95%
2, 49.43%, 102.88%, 1.44%
3, 49.19%, 103.54%, 1.18%
4, 47.61%, 104.15%, 1.04%
5, 48.11%, 104.59%, 0.92%
6, 47.66%, 104.99%, 0.83%
7, 47.37%, 105.35%, 0.76%
8, 46.73%, 105.75%, 0.72%
9, 45.01%, 106.26%, 0.70%
10, 44.64%, 106.73%, 0.67%
11, 44.31%, 107.12%, 0.65%
12, 45.02%, 107.35%, 0.61%
13, 44.36%, 107.84%, 0.60%
14, 44.03%, 108.34%, 0.60%
15, 43.46%, 108.94%, 0.60%
16, 43.98%, 109.29%, 0.58%
17, 45.28%, 109.55%, 0.56%
18, 44.59%, 110.26%, 0.57%
19, 44.79%, 110.75%, 0.57%
20, 45.26%, 111.14%, 0.56%
21, 45.18%, 111.68%, 0.56%
22, 45.13%, 112.12%, 0.55%
23, 45.72%, 112.38%, 0.54%
24, 45.63%, 112.70%, 0.53%
25, 46.07%, 112.80%, 0.51%
26, 45.03%, 113.38%, 0.51%
27, 45.72%, 113.51%, 0.50%
28, 46.17%, 113.58%, 0.49%
29, 45.97%, 113.84%, 0.48%
Stock SH600375
1, 49.63%, 101.98%, 1.98%
2, 48.32%, 103.16%, 1.58%
3, 47.80%, 103.93%, 1.31%
4, 49.06%, 104.40%, 1.10%
5, 47.17%, 105.06%, 1.01%
6, 46.34%, 105.59%, 0.93%
7, 45.24%, 106.22%, 0.89%
8, 45.60%, 106.55%, 0.82%
9, 45.45%, 107.00%, 0.78%
10, 46.46%, 107.30%, 0.73%
11, 45.91%, 107.82%, 0.71%
12, 47.35%, 108.03%, 0.67%
13, 46.96%, 108.60%, 0.66%
14, 46.69%, 109.10%, 0.65%
15, 46.17%, 109.58%, 0.64%
16, 46.48%, 109.91%, 0.62%
17, 46.48%, 110.48%, 0.62%
18, 45.80%, 111.20%, 0.62%
19, 45.96%, 111.88%, 0.63%
20, 45.96%, 112.53%, 0.63%
21, 47.14%, 112.72%, 0.61%
22, 46.85%, 113.35%, 0.61%
23, 47.35%, 113.64%, 0.59%
24, 46.98%, 114.03%, 0.58%
25, 46.87%, 114.26%, 0.57%
26, 46.77%, 114.57%, 0.56%
27, 46.45%, 114.88%, 0.55%
28, 46.35%, 115.12%, 0.54%
29, 46.40%, 115.28%, 0.53%
Stock SH600376
1, 46.62%, 102.05%, 2.05%
2, 46.49%, 103.11%, 1.56%
3, 47.94%, 103.70%, 1.23%
4, 47.76%, 104.33%, 1.08%
5, 48.34%, 104.87%, 0.97%
6, 47.76%, 105.44%, 0.91%
7, 48.39%, 105.79%, 0.83%
8, 49.39%, 106.12%, 0.77%
9, 48.84%, 106.59%, 0.73%
10, 48.44%, 107.02%, 0.70%
11, 48.16%, 107.50%, 0.68%
12, 47.53%, 107.97%, 0.66%
13, 47.98%, 108.27%, 0.64%
14, 47.71%, 108.64%, 0.62%
15, 47.26%, 109.12%, 0.61%
16, 47.21%, 109.54%, 0.60%
17, 46.71%, 110.08%, 0.59%
18, 46.94%, 110.39%, 0.58%
19, 47.21%, 110.83%, 0.57%
20, 46.80%, 111.40%, 0.57%
21, 46.67%, 111.97%, 0.57%
22, 46.30%, 112.54%, 0.57%
23, 46.10%, 113.01%, 0.57%
24, 46.51%, 113.25%, 0.55%
25, 45.92%, 113.72%, 0.55%
26, 45.92%, 114.07%, 0.54%
27, 45.83%, 114.32%, 0.53%
28, 46.19%, 114.33%, 0.51%
29, 46.55%, 114.35%, 0.49%
Stock SH600377
1, 48.32%, 101.27%, 1.27%
2, 50.51%, 101.84%, 0.92%
3, 51.53%, 102.27%, 0.76%
4, 52.89%, 102.58%, 0.64%
5, 53.28%, 102.83%, 0.57%
6, 53.48%, 103.04%, 0.51%
7, 52.46%, 103.27%, 0.47%
8, 52.55%, 103.38%, 0.42%
9, 52.75%, 103.49%, 0.39%
10, 52.02%, 103.58%, 0.36%
11, 51.53%, 103.70%, 0.34%
12, 50.66%, 103.89%, 0.32%
13, 50.56%, 104.06%, 0.31%
14, 50.97%, 104.23%, 0.30%
15, 50.56%, 104.42%, 0.29%
16, 50.15%, 104.53%, 0.28%
17, 49.81%, 104.62%, 0.27%
18, 49.61%, 104.77%, 0.26%
19, 49.27%, 104.95%, 0.26%
20, 49.71%, 105.09%, 0.25%
21, 50.44%, 105.16%, 0.25%
22, 50.63%, 105.29%, 0.24%
23, 50.73%, 105.44%, 0.24%
24, 50.39%, 105.68%, 0.24%
25, 50.78%, 105.83%, 0.23%
26, 51.22%, 105.96%, 0.23%
27, 52.39%, 106.02%, 0.22%
28, 52.41%, 106.13%, 0.22%
29, 52.49%, 106.26%, 0.22%
Stock SH600378
1, 52.13%, 102.23%, 2.23%
2, 52.33%, 103.38%, 1.69%
3, 52.03%, 104.19%, 1.40%
4, 52.03%, 104.75%, 1.19%
5, 52.18%, 105.40%, 1.08%
6, 52.97%, 106.01%, 1.00%
7, 52.38%, 106.68%, 0.95%
8, 52.46%, 107.24%, 0.91%
9, 52.05%, 107.83%, 0.87%
10, 51.19%, 108.56%, 0.86%
11, 51.60%, 108.96%, 0.81%
12, 51.45%, 109.39%, 0.78%
13, 51.50%, 109.75%, 0.75%
14, 52.36%, 109.97%, 0.71%
15, 52.41%, 110.40%, 0.69%
16, 52.41%, 110.76%, 0.67%
17, 53.12%, 110.96%, 0.64%
18, 52.97%, 111.33%, 0.63%
19, 53.12%, 111.67%, 0.61%
20, 53.63%, 111.91%, 0.60%
21, 53.42%, 112.34%, 0.59%
22, 53.88%, 112.53%, 0.57%
23, 53.17%, 112.96%, 0.56%
24, 52.16%, 113.48%, 0.56%
25, 52.92%, 113.53%, 0.54%
26, 51.90%, 113.98%, 0.54%
27, 51.40%, 114.24%, 0.53%
28, 50.38%, 114.59%, 0.52%
29, 50.51%, 114.69%, 0.51%
Stock SH600379
1, 49.32%, 102.23%, 2.23%
2, 51.12%, 103.29%, 1.65%
3, 51.56%, 103.97%, 1.32%
4, 51.89%, 104.72%, 1.18%
5, 51.94%, 105.43%, 1.09%
6, 52.49%, 105.98%, 1.00%
7, 51.91%, 106.56%, 0.94%
8, 52.22%, 107.03%, 0.88%
9, 50.66%, 107.80%, 0.87%
10, 51.45%, 108.21%, 0.82%
11, 51.23%, 108.76%, 0.80%
12, 51.62%, 109.21%, 0.77%
13, 51.78%, 109.79%, 0.75%
14, 51.51%, 110.37%, 0.74%
15, 51.40%, 110.99%, 0.73%
16, 50.30%, 111.93%, 0.75%
17, 49.81%, 112.73%, 0.75%
18, 49.70%, 113.26%, 0.74%
